Show,Platform,Week Ending,Minutes (Millions)
AHSOKA,DISNEY+,"Aug. 27, 2023",829
AHSOKA,DISNEY+,"Sep. 3, 2023",487
AHSOKA,DISNEY+,"Sep. 10, 2023",459
AHSOKA,DISNEY+,"Sep. 17, 2023",577
AHSOKA,DISNEY+,"Sep. 24, 2023",570
AHSOKA,DISNEY+,"Oct. 1, 2023",572
AHSOKA,DISNEY+,"Oct. 8, 2023",575
ANDOR,DISNEY+,"Sep. 25, 2022",624
ANDOR,DISNEY+,"Oct. 2, 2022",485
ANDOR,DISNEY+,"Oct. 9, 2022",356
ANDOR,DISNEY+,"Oct. 16, 2022",405
ANDOR,DISNEY+,"Oct. 23, 2022",418
ANDOR,DISNEY+,"Oct. 30, 2022",385
ANDOR,DISNEY+,"Nov. 13, 2022",420
ANDOR,DISNEY+,"Nov. 20, 2022",455
ANDOR,DISNEY+,"Nov. 27, 2022",674
ECHO,HULU/DISNEY+,"Jan. 14, 2024",731
FALCON AND THE WINTER SOLDIER,DISNEY+,"Mar. 21, 2021",495
FALCON AND THE WINTER SOLDIER,DISNEY+,"Mar. 28, 2021",628
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 4, 2021",628
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 11, 2021",748
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 18, 2021",855
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 25, 2021",796
FALCON AND THE WINTER SOLDIER,DISNEY+,"May. 2, 2021",364
FALCON AND THE WINTER SOLDIER,DISNEY+,"May. 9, 2021",204
GOOSEBUMPS,HULU/DISNEY+,"Oct. 15, 2023",553
GOOSEBUMPS,HULU/DISNEY+,"Oct. 22, 2023",594
GOOSEBUMPS,HULU/DISNEY+,"Oct. 29, 2023",445
GOOSEBUMPS,HULU/DISNEY+,"Nov. 5, 2023",308
HAWKEYE,DISNEY+,"Nov. 28, 2021",853
HAWKEYE,DISNEY+,"Dec. 5, 2021",560
HAWKEYE,DISNEY+,"Dec. 12, 2021",527
HAWKEYE,DISNEY+,"Dec. 19, 2021",580
HAWKEYE,DISNEY+,"Dec. 26, 2021",938
HAWKEYE,DISNEY+,"Jan. 2, 2022",539
HAMILTON,DISNEY+,"Jul. 5, 2020","1,931"
LOKI,DISNEY+,"Jun. 13, 2021",731
LOKI,DISNEY+,"Jun. 20, 2021",886
LOKI,DISNEY+,"Jun. 27, 2021",713
LOKI,DISNEY+,"Jul. 4, 2021",813
LOKI,DISNEY+,"Jul. 11, 2021","1,080"
LOKI,DISNEY+,"Jul. 18, 2021","1,011"
LOKI,DISNEY+,"Jul. 25, 2021",386
LOKI,DISNEY+,"Aug. 1, 2021",180
LOKI,DISNEY+,"Oct. 8, 2023",446
LOKI,DISNEY+,"Oct. 15, 2023",588
LOKI,DISNEY+,"Oct. 22, 2023",525
LOKI,DISNEY+,"Oct. 29, 2023",514
LOKI,DISNEY+,"Nov. 5, 2023",560
LOKI,DISNEY+,"Nov. 12, 2023",753
LOKI,DISNEY+,"Nov. 19, 2023",440
LOKI,DISNEY+,"Nov. 26, 2023",262
MOON KNIGHT,DISNEY+,"Apr. 3, 2022",418
MOON KNIGHT,DISNEY+,"Apr. 10, 2022",608
MOON KNIGHT,DISNEY+,"Apr. 17, 2022",638
MOON KNIGHT,DISNEY+,"Apr. 24, 2022",630
MOON KNIGHT,DISNEY+,"May. 1, 2022",681
MOON KNIGHT,DISNEY+,"May. 8, 2022",715
MOON KNIGHT,DISNEY+,"May. 15, 2022",289
MS. MARVEL,DISNEY+,"Jun. 12, 2022",249
MS. MARVEL,DISNEY+,"Jul. 10, 2022",295
MS. MARVEL,DISNEY+,"Jul. 17, 2022",357
NATIONAL TREASURE: EDGE,DISNEY+,"Jan. 22, 2023",294
OBI-WAN KENOBI,DISNEY+,"May. 29, 2022","1,026"
OBI-WAN KENOBI,DISNEY+,"Jun. 5, 2022",958
OBI-WAN KENOBI,DISNEY+,"Jun. 12, 2022",682
OBI-WAN KENOBI,DISNEY+,"Jun. 19, 2022",733
OBI-WAN KENOBI,DISNEY+,"Jun. 26, 2022",860
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Dec. 24, 2023",572
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Dec. 31, 2023",700
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Jan. 7, 2024",627
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Jan. 14, 2024",618
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Jan. 21, 2024",529
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Jan. 28, 2024",530
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Feb. 4, 2024",575
PERCY JACKSON & THE OLYMPIANS,DISNEY+,"Feb. 11, 2024",227
SECRET INVASION,DISNEY+,"Jun. 25, 2023",461
SECRET INVASION,DISNEY+,"Jul. 2, 2023",464
SECRET INVASION,DISNEY+,"Jul. 9, 2023",426
SECRET INVASION,DISNEY+,"Jul. 16, 2023",347
SECRET INVASION,DISNEY+,"Jul. 23, 2023",411
SECRET INVASION,DISNEY+,"Jul. 30, 2023",421
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Aug. 28, 2022",390
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Sep. 4, 2022",472
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Sep. 11, 2022",493
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Sep. 18, 2022",403
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Oct. 2, 2022",396
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Oct. 9, 2022",454
SHE-HULK: ATTORNEY AT LAW,DISNEY+,"Oct. 16, 2022",526
STAR WARS: THE BAD BATCH,DISNEY+,"May. 9, 2021",251
THE BEATLES: GET BACK,DISNEY+,"Nov. 28, 2021",503
THE BEATLES: GET BACK,DISNEY+,"Dec. 5, 2021",408
THE BOOK OF BOBA FETT,DISNEY+,"Jan. 2, 2022",389
THE BOOK OF BOBA FETT,DISNEY+,"Jan. 9, 2022",563
THE BOOK OF BOBA FETT,DISNEY+,"Jan. 16, 2022",467
THE BOOK OF BOBA FETT,DISNEY+,"Jan. 23, 2022",580
THE BOOK OF BOBA FETT,DISNEY+,"Jan. 30, 2022",744
THE BOOK OF BOBA FETT,DISNEY+,"Feb. 6, 2022",776
THE BOOK OF BOBA FETT,DISNEY+,"Feb. 13, 2022",885
THE BOOK OF BOBA FETT,DISNEY+,"Feb. 20, 2022",339
THE BOOK OF BOBA FETT,DISNEY+,"Feb. 27, 2022",245
THE MANDALORIAN,DISNEY+,"Nov. 1, 2020","1,032"
THE MANDALORIAN,DISNEY+,"Nov. 8, 2020",955
THE MANDALORIAN,DISNEY+,"Nov. 15, 2020",873
THE MANDALORIAN,DISNEY+,"Nov. 22, 2020",939
THE MANDALORIAN,DISNEY+,"Nov. 29, 2020","1,210"
THE MANDALORIAN,DISNEY+,"Dec. 6, 2020",994
THE MANDALORIAN,DISNEY+,"Dec. 13, 2020","1,042"
THE MANDALORIAN,DISNEY+,"Dec. 20, 2020","1,336"
THE MANDALORIAN,DISNEY+,"Dec. 27, 2020","1,024"
THE MANDALORIAN,DISNEY+,"Jan. 3, 2021",707
THE MANDALORIAN,DISNEY+,"Jan. 10, 2021",411
THE MANDALORIAN,DISNEY+,"Jan. 17, 2021",339
THE MANDALORIAN,DISNEY+,"Mar. 5, 2023",823
THE MANDALORIAN,DISNEY+,"Mar. 12, 2023",889
THE MANDALORIAN,DISNEY+,"Mar. 19, 2023","1,115"
THE MANDALORIAN,DISNEY+,"Mar. 26, 2023",795
THE MANDALORIAN,DISNEY+,"Apr. 2, 2023",878
THE MANDALORIAN,DISNEY+,"Apr. 9, 2023","1,031"
THE MANDALORIAN,DISNEY+,"Apr. 16, 2023","1,025"
THE MANDALORIAN,DISNEY+,"Apr. 23, 2023","1,012"
THE MANDALORIAN,DISNEY+,"Apr. 30, 2023",498
THE MANDALORIAN,DISNEY+,"May. 7, 2023",319
THE SANTA CLAUSES,DISNEY+,"Nov. 27, 2022",372
THE SANTA CLAUSES,DISNEY+,"Dec. 4, 2022",349
THE SANTA CLAUSES,DISNEY+,"Dec. 11, 2022",331
THE SANTA CLAUSES,DISNEY+,"Dec. 18, 2022",392
THE SANTA CLAUSES,DISNEY+,"Dec. 25, 2022",487
THE SANTA CLAUSES,DISNEY+,"Nov. 26, 2023",408
THE SANTA CLAUSES,DISNEY+,"Dec. 3, 2023",276
THE SANTA CLAUSES,DISNEY+,"Dec. 10, 2023",279
WANDAVISION,DISNEY+,"Jan. 17, 2021",434
WANDAVISION,DISNEY+,"Jan. 24, 2021",376
WANDAVISION,DISNEY+,"Jan. 31, 2021",431
WANDAVISION,DISNEY+,"Feb. 7, 2021",589
WANDAVISION,DISNEY+,"Feb. 14, 2021",596
WANDAVISION,DISNEY+,"Feb. 21, 2021",720
WANDAVISION,DISNEY+,"Feb. 28, 2021",732
WANDAVISION,DISNEY+,"Mar. 7, 2021",924
WANDAVISION,DISNEY+,"Mar. 14, 2021",388
WANDAVISION,DISNEY+,"Mar. 21, 2021",252
WHAT IF?,DISNEY+,"Aug. 22, 2021",225
WHAT IF?,DISNEY+,"Aug. 29, 2021",233
WHAT IF?,DISNEY+,"Sep. 5, 2021",235
WHAT IF?,DISNEY+,"Sep. 12, 2021",258
WHAT IF?,DISNEY+,"Sep. 19, 2021",243
WHAT IF?,DISNEY+,"Oct. 3, 2021",223
WHAT IF?,DISNEY+,"Dec. 31, 2023",513
AGE OF THE SAMURAI,NETFLIX,"Feb. 28, 2021",265
ANOTHER LIFE,NETFLIX,"Oct. 24, 2021",304
ATYPICAL,NETFLIX,"Jul. 11, 2021",400
ATYPICAL,NETFLIX,"Jul. 18, 2021",603
ATYPICAL,NETFLIX,"Jul. 25, 2021",422
ATYPICAL,NETFLIX,"Aug. 1, 2021",291
BAKE SQUAD,NETFLIX,"Aug. 22, 2021",276
BAKE SQUAD,NETFLIX,"Jan. 29, 2023",378
BEHIND HER EYES,NETFLIX,"Feb. 21, 2021",677
BEHIND HER EYES,NETFLIX,"Feb. 28, 2021",577
BEHIND HER EYES,NETFLIX,"Mar. 7, 2021",369
BEHIND HER EYES,NETFLIX,"Mar. 14, 2021",261
BLACK SUMMER,NETFLIX,"Jun. 20, 2021",323
BLACK SUMMER,NETFLIX,"Jun. 27, 2021",297
BLING EMPIRE,NETFLIX,"Jan. 24, 2021",425
BLOWN AWAY,NETFLIX,"Jan. 31, 2021",438
BLOWN AWAY,NETFLIX,"Feb. 7, 2021",242
BLOWN AWAY,NETFLIX,"Jul. 24, 2022",284
BLOWN AWAY,NETFLIX,"Jul. 31, 2022",443
BOJACK HORSEMAN,NETFLIX,"Jun. 20, 2021",137
BRAND NEW CHERRY FLAVOR,NETFLIX,"Aug. 22, 2021",240
CAR MASTERS: RUST TO RICHES,NETFLIX,"Aug. 8, 2021",280
CAR MASTERS: RUST TO RICHES,NETFLIX,"Aug. 15, 2021",290
CAR MASTERS: RUST TO RICHES,NETFLIX,"Jul. 31, 2022",397
CAR MASTERS: RUST TO RICHES,NETFLIX,"Aug. 7, 2022",274
CAR MASTERS: RUST TO RICHES,NETFLIX,"Dec. 24, 2023",345
CASTLEVANIA,NETFLIX,"May. 16, 2021",205
CASTLEVANIA,NETFLIX,"May. 23, 2021",188
CATCHING KILLERS,NETFLIX,"Nov. 14, 2021",217
CATCHING KILLERS,NETFLIX,"Jun. 25, 2023",304
CATCHING KILLERS,NETFLIX,"Jul. 2, 2023",394
CHILLING ADVENTURES SABRINA,NETFLIX,"Jan. 3, 2021",961
CHILLING ADVENTURES SABRINA,NETFLIX,"Jan. 10, 2021",768
CHILLING ADVENTURES SABRINA,NETFLIX,"Jan. 17, 2021",442
CLICKBAIT,NETFLIX,"Aug. 29, 2021",912
CLICKBAIT,NETFLIX,"Sep. 5, 2021","1,460"
CLICKBAIT,NETFLIX,"Sep. 12, 2021","1,108"
CLICKBAIT,NETFLIX,"Sep. 19, 2021",732
CLICKBAIT,NETFLIX,"Sep. 26, 2021",409
COCAINE COWBOYS,NETFLIX,"Aug. 8, 2021",321
COCAINE COWBOYS,NETFLIX,"Aug. 15, 2021",265
COLIN IN BLACK & WHITE,NETFLIX,"Nov. 7, 2021",356
COUNTRY COMFORT,NETFLIX,"Mar. 28, 2021",253
COWBOY BEBOP,NETFLIX,"Nov. 21, 2021",414
COWBOY BEBOP,NETFLIX,"Nov. 28, 2021",630
COWBOY BEBOP,NETFLIX,"Dec. 12, 2021",218
DAD STOP EMBARASSING ME,NETFLIX,"Apr. 18, 2021",330
DAD STOP EMBARASSING ME,NETFLIX,"Apr. 25, 2021",146
DAVE CHAPPELLE: THE CLOSER,NETFLIX,"Oct. 10, 2021",399
DAVE CHAPPELLE: THE CLOSER,NETFLIX,"Oct. 17, 2021",357
DEATH TO 2020,NETFLIX,"Jan. 3, 2021",519
DESIGNATED SURVIVOR,NETFLIX,"Jan. 3, 2021",241
DISENCHANTMENT,NETFLIX,"Jan. 17, 2021",401
DISENCHANTMENT,NETFLIX,"Jan. 24, 2021",394
DISENCHANTMENT,NETFLIX,"Feb. 13, 2022",397
DISENCHANTMENT,NETFLIX,"Sep. 10, 2023",298
ELITE,NETFLIX,"Jun. 27, 2021",171
FAMILY REUNION,NETFLIX,"Apr. 11, 2021",327
FAMILY REUNION,NETFLIX,"Apr. 18, 2021",171
FAMILY REUNION,NETFLIX,"Aug. 29, 2021",199
FAMILY REUNION,NETFLIX,"Sep. 5, 2021",226
FATE: THE WINX SAGA,NETFLIX,"Jan. 24, 2021",670
FATE: THE WINX SAGA,NETFLIX,"Jan. 31, 2021",918
FATE: THE WINX SAGA,NETFLIX,"Feb. 7, 2021",256
FATE: THE WINX SAGA,NETFLIX,"Sep. 18, 2022",524
FATE: THE WINX SAGA,NETFLIX,"Sep. 25, 2022",675
FIREFLY LANE,NETFLIX,"Feb. 7, 2021","1,308"
FIREFLY LANE,NETFLIX,"Feb. 14, 2021","1,288"
FIREFLY LANE,NETFLIX,"Feb. 21, 2021",780
FIREFLY LANE,NETFLIX,"Feb. 28, 2021",383
FIREFLY LANE,NETFLIX,"Mar. 7, 2021",274
FIREFLY LANE,NETFLIX,"Dec. 4, 2022",967
FIREFLY LANE,NETFLIX,"Dec. 11, 2022","1,361"
FIREFLY LANE,NETFLIX,"Dec. 18, 2022",672
FIREFLY LANE,NETFLIX,"Apr. 30, 2023","1,109"
FIREFLY LANE,NETFLIX,"May. 7, 2023","1,250"
FIREFLY LANE,NETFLIX,"May. 14, 2023",697
FIREFLY LANE,NETFLIX,"May. 21, 2023",473
FIREFLY LANE,NETFLIX,"May. 28, 2023",337
FORMULA 1: DRIVE SURVIVE,NETFLIX,"Mar. 28, 2021",237
GABBY'S DOLLHOUSE,NETFLIX,"Jan. 10, 2021",380
GABBY'S DOLLHOUSE,NETFLIX,"Aug. 15, 2021",238
GABBY'S DOLLHOUSE,NETFLIX,"Aug. 22, 2021",268
GABBY'S DOLLHOUSE,NETFLIX,"Oct. 31, 2021",241
GABBY'S DOLLHOUSE,NETFLIX,"Feb. 5, 2023",290
GABBY'S DOLLHOUSE,NETFLIX,"Feb. 12, 2023",265
GABBY'S DOLLHOUSE,NETFLIX,"Mar. 19, 2023",292
GABBY'S DOLLHOUSE,NETFLIX,"Mar. 26, 2023",383
GABBY'S DOLLHOUSE,NETFLIX,"Apr. 9, 2023",279
GABBY'S DOLLHOUSE,NETFLIX,"Jun. 18, 2023",280
GABBY'S DOLLHOUSE,NETFLIX,"Aug. 13, 2023",436
GABBY'S DOLLHOUSE,NETFLIX,"Aug. 20, 2023",369
GABBY'S DOLLHOUSE,NETFLIX,"Aug. 27, 2023",347
GABBY'S DOLLHOUSE,NETFLIX,"Dec. 24, 2023",251
GINNY & GEORGIA,NETFLIX,"Feb. 28, 2021",953
GINNY & GEORGIA,NETFLIX,"Mar. 7, 2021","1,161"
GINNY & GEORGIA,NETFLIX,"Mar. 14, 2021",722
GINNY & GEORGIA,NETFLIX,"Mar. 21, 2021",540
GINNY & GEORGIA,NETFLIX,"Mar. 28, 2021",390
GINNY & GEORGIA,NETFLIX,"Apr. 4, 2021",292
GINNY & GEORGIA,NETFLIX,"Apr. 11, 2021",189
GINNY & GEORGIA,NETFLIX,"Jan. 8, 2023","2,520"
GINNY & GEORGIA,NETFLIX,"Jan. 15, 2023","2,730"
GINNY & GEORGIA,NETFLIX,"Jan. 22, 2023","1,804"
GINNY & GEORGIA,NETFLIX,"Jan. 29, 2023","1,299"
GINNY & GEORGIA,NETFLIX,"Feb. 5, 2023",900
GINNY & GEORGIA,NETFLIX,"Feb. 12, 2023",483
GINNY & GEORGIA,NETFLIX,"Feb. 19, 2023",410
GINNY & GEORGIA,NETFLIX,"Feb. 26, 2023",300
GLOW UP,NETFLIX,"Aug. 8, 2021",220
GLOW UP,NETFLIX,"Aug. 15, 2021",197
GLOW UP,NETFLIX,"Aug. 28, 2022",336
GLOW UP,NETFLIX,"Sep. 17, 2023",399
GO DOG GO,NETFLIX,"Feb. 7, 2021",257
GO DOG GO,NETFLIX,"Feb. 14, 2021",194
GRACE AND FRANKIE,NETFLIX,"Aug. 15, 2021",465
GRACE AND FRANKIE,NETFLIX,"Aug. 22, 2021",716
GRACE AND FRANKIE,NETFLIX,"Aug. 29, 2021",469
GRACE AND FRANKIE,NETFLIX,"Sep. 5, 2021",421
GRACE AND FRANKIE,NETFLIX,"Sep. 12, 2021",271
GRACE AND FRANKIE,NETFLIX,"May. 1, 2022",701
GRACE AND FRANKIE,NETFLIX,"May. 8, 2022",880
GRACE AND FRANKIE,NETFLIX,"May. 15, 2022",584
GRACE AND FRANKIE,NETFLIX,"May. 22, 2022",436
GRACE AND FRANKIE,NETFLIX,"May. 29, 2022",312
GRACE AND FRANKIE,NETFLIX,"Jun. 5, 2022",271
HALSTON,NETFLIX,"May. 23, 2021",211
HEIST,NETFLIX,"Jul. 18, 2021",371
HEIST,NETFLIX,"Jul. 25, 2021",316
HISTORY OF SWEAR WORDS,NETFLIX,"Jan. 10, 2021",314
HIT & RUN,NETFLIX,"Aug. 8, 2021",226
HIT & RUN,NETFLIX,"Aug. 15, 2021",549
HIT & RUN,NETFLIX,"Aug. 22, 2021",254
INSIDE JOB,NETFLIX,"Oct. 31, 2021",277
INSIDE JOB,NETFLIX,"Nov. 27, 2022",360
JIM GAFFIGAN: COMEDY MONSTER,NETFLIX,"Dec. 26, 2021",186
JUPITER'S LEGACY,NETFLIX,"May. 9, 2021",696
JUPITER'S LEGACY,NETFLIX,"May. 16, 2021","1,019"
JUPITER'S LEGACY,NETFLIX,"May. 23, 2021",405
JUPITER'S LEGACY,NETFLIX,"May. 30, 2021",214
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jan. 24, 2021",374
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jan. 31, 2021",319
JURASSIC WORLD CAMP CRET.,NETFLIX,"May. 23, 2021",379
JURASSIC WORLD CAMP CRET.,NETFLIX,"May. 30, 2021",470
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jun. 6, 2021",278
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jun. 13, 2021",142
JURASSIC WORLD CAMP CRET.,NETFLIX,"Dec. 12, 2021",337
JURASSIC WORLD CAMP CRET.,NETFLIX,"Dec. 19, 2021",215
JURASSIC WORLD CAMP CRET.,NETFLIX,"Dec. 26, 2021",211
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jul. 24, 2022",361
JURASSIC WORLD CAMP CRET.,NETFLIX,"Jul. 31, 2022",406
LAST CHANCE U: BASKETBALL,NETFLIX,"Mar. 14, 2021",234
LAST CHANCE U: BASKETBALL,NETFLIX,"Mar. 21, 2021",192
LIFE IN COLOR W/ DAVID ATTEN …,NETFLIX,"Apr. 25, 2021",189
LIFE IN COLOR W/ DAVID ATTEN …,NETFLIX,"May. 2, 2021",199
LOCKE & KEY,NETFLIX,"Oct. 24, 2021",637
LOCKE & KEY,NETFLIX,"Oct. 31, 2021","1,068"
LOCKE & KEY,NETFLIX,"Nov. 7, 2021",635
LOCKE & KEY,NETFLIX,"Nov. 14, 2021",409
LOCKE & KEY,NETFLIX,"Nov. 21, 2021",293
LOCKE & KEY,NETFLIX,"Aug. 14, 2022",919
LOCKE & KEY,NETFLIX,"Aug. 21, 2022",776
LOCKE & KEY,NETFLIX,"Aug. 28, 2022",518
LONGMIRE,NETFLIX,"Jan. 31, 2021",304
LONGMIRE,NETFLIX,"Feb. 7, 2021",296
LONGMIRE,NETFLIX,"Feb. 14, 2021",232
LONGMIRE,NETFLIX,"Feb. 21, 2021",248
LONGMIRE,NETFLIX,"Feb. 28, 2021",234
LONGMIRE,NETFLIX,"Mar. 7, 2021",201
LONGMIRE,NETFLIX,"Mar. 14, 2021",202
LONGMIRE,NETFLIX,"Mar. 28, 2021",200
LONGMIRE,NETFLIX,"May. 2, 2021",169
LONGMIRE,NETFLIX,"Jun. 13, 2021",156
LONGMIRE,NETFLIX,"Jun. 20, 2021",176
LONGMIRE,NETFLIX,"Aug. 7, 2022",287
LOST IN SPACE,NETFLIX,"Dec. 5, 2021","1,207"
LOST IN SPACE,NETFLIX,"Dec. 12, 2021","1,018"
LOST IN SPACE,NETFLIX,"Dec. 19, 2021",569
LOST IN SPACE,NETFLIX,"Dec. 26, 2021",490
LOST IN SPACE,NETFLIX,"Jan. 2, 2022",452
LOST IN SPACE,NETFLIX,"Jan. 9, 2022",291
LUPIN,NETFLIX,"Jan. 17, 2021",494
LUPIN,NETFLIX,"Jan. 24, 2021",322
LUPIN,NETFLIX,"Jun. 13, 2021",237
LUPIN,NETFLIX,"Jun. 20, 2021",363
LUPIN,NETFLIX,"Oct. 8, 2023",436
LUPIN,NETFLIX,"Oct. 15, 2023",635
LUPIN,NETFLIX,"Oct. 22, 2023",346
MAID,NETFLIX,"Oct. 10, 2021","1,904"
MAID,NETFLIX,"Oct. 17, 2021","1,474"
MAID,NETFLIX,"Oct. 24, 2021",865
MAID,NETFLIX,"Oct. 31, 2021",718
MAID,NETFLIX,"Nov. 7, 2021",524
MAID,NETFLIX,"Nov. 14, 2021",445
MAID,NETFLIX,"Nov. 21, 2021",302
MARVEL'S DAREDEVIL,NETFLIX,"Dec. 26, 2021",195
MAYA AND THE THREE,NETFLIX,"Oct. 31, 2021",481
MAYA AND THE THREE,NETFLIX,"Nov. 7, 2021",343
MIDNIGHT MASS,NETFLIX,"Sep. 26, 2021",566
MIDNIGHT MASS,NETFLIX,"Oct. 3, 2021","1,171"
MIDNIGHT MASS,NETFLIX,"Oct. 10, 2021",707
MIDNIGHT MASS,NETFLIX,"Oct. 17, 2021",445
MIDNIGHT MASS,NETFLIX,"Oct. 24, 2021",304
MIDNIGHT MASS,NETFLIX,"Oct. 31, 2021",268
MONEY HEIST,NETFLIX,"Sep. 5, 2021",452
MONEY HEIST,NETFLIX,"Sep. 12, 2021",538
MONEY HEIST,NETFLIX,"Sep. 19, 2021",224
MONEY HEIST,NETFLIX,"Dec. 5, 2021",374
MONEY HEIST,NETFLIX,"Dec. 12, 2021",426
MONEY HEIST,NETFLIX,"Dec. 19, 2021",231
MONEY HEIST,NETFLIX,"Dec. 26, 2021",183
MONSTERS INSIDE,NETFLIX,"Sep. 26, 2021",251
MOST AMAZING VACATION RENTALS,NETFLIX,"Jun. 27, 2021",253
MURDER AMONG MORMONS,NETFLIX,"Mar. 7, 2021",587
MURDER AMONG THE MORMONS,NETFLIX,"Mar. 14, 2021",264
MY NAME,NETFLIX,"Oct. 24, 2021",275
NAILED IT,NETFLIX,"Apr. 4, 2021",250
NARCOS: MEXICO,NETFLIX,"Nov. 7, 2021",512
NARCOS: MEXICO,NETFLIX,"Nov. 14, 2021",769
NARCOS: MEXICO,NETFLIX,"Nov. 21, 2021",428
NEVER HAVE I EVER,NETFLIX,"Jul. 18, 2021",480
NEVER HAVE I EVER,NETFLIX,"Jul. 25, 2021",567
NEVER HAVE I EVER,NETFLIX,"Aug. 1, 2021",328
NEVER HAVE I EVER,NETFLIX,"Aug. 14, 2022",596
NEVER HAVE I EVER,NETFLIX,"Aug. 21, 2022",883
NEVER HAVE I EVER,NETFLIX,"Aug. 28, 2022",433
NEVER HAVE I EVER,NETFLIX,"Jun. 11, 2023",917
NEVER HAVE I EVER,NETFLIX,"Jun. 18, 2023",832
NEVER HAVE I EVER,NETFLIX,"Jun. 25, 2023",447
ORANGE IS THE NEW BLACK,NETFLIX,"Mar. 7, 2021",237
ORANGE IS THE NEW BLACK,NETFLIX,"Jun. 6, 2021",179
ORANGE IS THE NEW BLACK,NETFLIX,"Aug. 1, 2021",164
OUTER BANKS,NETFLIX,"Aug. 1, 2021","1,423"
OUTER BANKS,NETFLIX,"Aug. 8, 2021","2,100"
OUTER BANKS,NETFLIX,"Aug. 15, 2021","1,160"
OUTER BANKS,NETFLIX,"Aug. 22, 2021",736
OUTER BANKS,NETFLIX,"Aug. 29, 2021",483
OUTER BANKS,NETFLIX,"Sep. 5, 2021",252
OUTER BANKS,NETFLIX,"Feb. 19, 2023",282
OUTER BANKS,NETFLIX,"Feb. 26, 2023","3,154"
OUTER BANKS,NETFLIX,"Mar. 5, 2023","2,214"
OUTER BANKS,NETFLIX,"Mar. 12, 2023","1,227"
OUTER BANKS,NETFLIX,"Mar. 19, 2023",722
OUTER BANKS,NETFLIX,"Mar. 26, 2023",556
OUTER BANKS,NETFLIX,"Apr. 2, 2023",358
RAGNAROK,NETFLIX,"May. 30, 2021",429
RAGNAROK,NETFLIX,"Jun. 6, 2021",404
RAGNAROK,NETFLIX,"Jun. 13, 2021",182
RAGNAROK,NETFLIX,"Aug. 27, 2023",471
RAGNAROK,NETFLIX,"Sep. 3, 2023",444
SCHOOL OF CHOCOLATE,NETFLIX,"Dec. 5, 2021",376
SELLING SUNSET,NETFLIX,"Nov. 28, 2021",549
SELLING SUNSET,NETFLIX,"Dec. 5, 2021",440
SELLING SUNSET,NETFLIX,"Dec. 12, 2021",278
SELLING SUNSET,NETFLIX,"Apr. 24, 2022",385
SELLING SUNSET,NETFLIX,"May. 1, 2022",584
SELLING SUNSET,NETFLIX,"May. 8, 2022",360
SELLING SUNSET,NETFLIX,"May. 21, 2023",332
SELLING SUNSET,NETFLIX,"May. 28, 2023",464
SELLING SUNSET,NETFLIX,"Jun. 4, 2023",367
SELLING SUNSET,NETFLIX,"Nov. 5, 2023",364
SELLING SUNSET,NETFLIX,"Nov. 12, 2023",709
SELLING SUNSET,NETFLIX,"Nov. 19, 2023",301
SELLING TAMPA,NETFLIX,"Dec. 19, 2021",243
SEX EDUCATION,NETFLIX,"Sep. 19, 2021",595
SEX EDUCATION,NETFLIX,"Sep. 26, 2021",856
SEX EDUCATION,NETFLIX,"Oct. 3, 2021",469
SEX EDUCATION,NETFLIX,"Oct. 10, 2021",283
SEX EDUCATION,NETFLIX,"Sep. 24, 2023",634
SEX EDUCATION,NETFLIX,"Oct. 1, 2023",734
SEX EDUCATION,NETFLIX,"Oct. 8, 2023",443
SEX EDUCATION,NETFLIX,"Oct. 15, 2023",289
SEX/LIFE,NETFLIX,"Jul. 4, 2021",449
SEX/LIFE,NETFLIX,"Jul. 11, 2021",489
SEX/LIFE,NETFLIX,"Jul. 18, 2021",282
SEX/LIFE,NETFLIX,"Jul. 25, 2021",216
SEX/LIFE,NETFLIX,"Mar. 5, 2023",500
SEX/LIFE,NETFLIX,"Mar. 12, 2023",554
SHADOW AND BONE,NETFLIX,"Apr. 25, 2021",721
SHADOW AND BONE,NETFLIX,"May. 2, 2021","1,192"
SHADOW AND BONE,NETFLIX,"May. 9, 2021",555
